#router1, port on router1, router2, port on router 2, failure start, failure end
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1294744899.0,1294744945.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1294744947.0,1294744952.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1296060543.0,1296085845.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1300174366.0,1300174369.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1300174809.0,1300174811.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1300174812.0,1300174817.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1300175345.0,1300175347.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1318320211.0,1318320373.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1324996222.0,1324996597.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333807507.0,1333807512.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333990515.0,1333990520.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333990540.0,1333990545.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333990566.0,1333990571.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333990603.0,1333990608.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991623.0,1333991628.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991651.0,1333991656.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991678.0,1333991683.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991711.0,1333991717.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991777.0,1333991782.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991863.0,1333991868.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991904.0,1333991909.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333991970.0,1333991975.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333992886.0,1333992892.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333992914.0,1333992919.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333992943.0,1333992948.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1333993048.0,1333993053.0
