#router1, port on router1, router2, port on router2, link created on, link
destroyed on
bak-agg2,GigabitEthernet0/0/7,ker-cc-1,GigabitEthernet0/1,1215590764.0,2.53402329599e+11
ala-coe,POS1/0/0,sm-coe,POS1/0/0,1087747044.0,1197199320.0
ala-coe,POS3/0,sm-coe,POS1/0/0,1197199320.0,1205568359.0
ala-coe,GigabitEthernet0/2,sm-coe,GigabitEthernet0/2,1205913878.0,1333008825.0
sol-coe,GigabitEthernet0/1,svl-dc2,GigabitEthernet2/0,1199528355.0,1253326116.0
lax-core1,TenGigE0/0/0/2,sdg-agg2,GigabitEthernet1/0/0,1302228326.0,1323173175.0
lax-core1,TenGigE0/0/0/0,sdg-agg2,GigabitEthernet6/0/0,1323173175.0,1323605189.0
lax-core1,TenGigE0/0/0/0,sdg-agg2,GigabitEthernet6/0/0,1323605189.0,1324469195.0
lax-core1,TenGigE0/0/0/0,sdg-agg2,GigabitEthernet6/0/0,1324469195.0,2.53402329599e+11
col-cc,FastEthernet0/1,col-cc-1,GigabitEthernet0/2,1268475150.0,1292522971.0
col-cc,GigabitEthernet0/2,col-cc-1,GigabitEthernet0/2,1292522971.0,2.53402329599e+11
sac-coe-1,GigabitEthernet0/1,sac-dc2,GigabitEthernet3/0,1165572296.0,1209161421.0
svl-agg2,GigabitEthernet0/0/9,svl-dc2,GigabitEthernet1/2,1209147025.0,1276869936.0
svl-agg2,GigabitEthernet4/0/7,svl-dc2,GigabitEthernet0/2,1276869936.0,1276869937.0
svl-agg2,GigabitEthernet4/0/6,svl-dc2,GigabitEthernet2/0,1276869937.0,1283277931.0
sac-agg2,GigabitEthernet0/0/0,sac-dc1,GigabitEthernet3/0/0,1204342117.0,1265947532.0
sac-agg2,GigabitEthernet7/0/0,sac-dc1,GigabitEthernet2/0/0,1265947532.0,2.53402329599e+11
lax-core2,TenGigE0/5/0/0,tus-agg1,GigabitEthernet7/0/0,1226059817.0,1236369918.0
lax-core2,TenGigE0/5/0/1,tus-agg1,GigabitEthernet7/0/0,1236369918.0,1276826710.0
lax-core2,TenGigE0/0/0/3,tus-agg1,GigabitEthernet7/0/0,1276826710.0,1276913115.0
lax-core2,TenGigE0/5/0/1,tus-agg1,GigabitEthernet7/0/0,1276913115.0,1290485150.0
lax-core2,TenGigE0/0/0/3,tus-agg1,GigabitEthernet7/0/0,1290485150.0,1326413365.0
lax-core2,TenGigE0/5/0/1,tus-agg1,GigabitEthernet7/0/0,1326427681.0,1326888486.0
lax-core2,TenGigE0/5/0/1,tus-agg1,GigabitEthernet7/0/0,1326888486.0,1326902816.0
lax-core2,TenGigE0/5/0/1,tus-agg1,GigabitEthernet7/0/0,1326902816.0,1332237963.0
lax-core2,TenGigE0/5/0/1,tus-agg1,GigabitEthernet7/0/0,1332237963.0,1332785169.0
lax-core2,TenGigE0/5/0/3,tus-agg1,GigabitEthernet1/0/0,1332785169.0,2.53402329599e+11
oak-dc2,GigabitEthernet1/0,sac-dc1,GigabitEthernet7/0,1087745987.0,1144692198.0
caw-nps-1,GigabitEthernet0/1,lax-agg1,GigabitEthernet4/1/9,1320394411.0,2.53402329599e+11
cc-cc,FastEthernet0/1,cc-cc-1,GigabitEthernet0/2,1259230358.0,1297246051.0
cc-cc,GigabitEthernet0/2,cc-cc-1,GigabitEthernet0/2,1297246051.0,1313136033.0
svl-agg2,GigabitEthernet2/0/1,svl-core1,GigabitEthernet0/1/0/1,1207807494.0,1242972314.0
svl-agg2,GigabitEthernet2/0/1,svl-core1,GigabitEthernet0/1/0/1,1242972314.0,1264507829.0
svl-agg2,GigabitEthernet5/0/0,svl-core1,TenGigE0/2/0/4,1264507829.0,2.53402329599e+11
frg-agg1,POS3/0:4,sta-coe,POS0/1/0,1202238549.0,1202558597.0
sol-dc1,POS4/0,svl-dc2,POS6/0,1099072963.0,1206007461.0
slo-agg1,GigabitEthernet0/0/2,slo-agg2,GigabitEthernet0/0/2,1204960465.0,1282615569.0
slo-agg1,GigabitEthernet0/0/2,slo-agg2,GigabitEthernet0/0/2,1282615569.0,1284012317.0
slo-agg1,GigabitEthernet5/0/0,slo-agg2,GigabitEthernet5/0/0,1284012317.0,2.53402329599e+11
lax-agg1,GigabitEthernet0/0/4.29,lax-dc4,FastEthernet0/0,1211911823.0,1239761106.0
ora-coe-2,POS1/0/0,riv-coe,POS1/0/0,1163239611.0,1197540012.0
bak-agg2,GigabitEthernet0/0/9,bak-dc2,GigabitEthernet3/2,1201896248.0,1212213607.0
lp-cc-1,GigabitEthernet0/1,oak-dc2,GigabitEthernet4/0/2,1274232484.0,2.53402329599e+11
fre-dc1,POS6/0,frg-dc2,POS4/0,1126644480.0,1162987416.0
fre-dc1,POS6/0,frg-dc2,POS4/0,1163001836.0,1197658888.0
