Granularity: 50000,,,,,,
Start Time,EndTime,#Failures,Mean Traceroute,StdErr Traceroute,,
1356452654,1356502654,3,15.17901235,20.27219233,0.03,1.701915934
1357602654,1357652654,0,16.4047619,21.66109033,0,1.839350614
1358752654,1358802654,9,15.14920635,20.19806586,0.09,1.698573997
1359902654,1359952654,43,14.74122807,19.45374997,0.43,1.652830261
1352752654,1352802654,4,17.57142857,20.684105,0.04,1.970160745
1352052654,1352102654,170,44.28571429,4.943300971,1.7,4.965445779
1358902654,1358952654,6,15.60493827,20.71331594,0.06,1.749672013
1356252654,1356302654,20,15.13363363,20.09695369,0.2,1.696827938
1357402654,1357452654,6,15.73568282,21.02206459,0.06,1.76433148
1358552654,1358602654,12,15.01971326,19.73111289,0.12,1.684054848
1359702654,1359752654,2,14.80023641,19.69193112,0.02,1.659446451
1352602654,1352652654,1,7.032679739,13.24550401,0.01,0.788524934
1354052654,1354102654,13,,,0.13,0
1356052654,1356102654,2,12.81699346,16.58034032,0.02,1.437079364
1357202654,1357252654,3,15.6838488,21.01308004,0.03,1.758519696
1358352654,1358402654,4,15.32307692,20.47178331,0.04,1.718068882
1359502654,1359552654,2,,,0.02,0
1356002654,1356052654,28,14.68568102,19.42829969,0.28,1.646602161
1353902654,1353952654,3,5.208037825,11.93854364,0.03,0.583940665
1357002654,1357052654,17,23.00480769,22.38549874,0.17,2.579367345
1358152654,1358202654,0,15.30452675,20.4353306,0,1.715988981
1359302654,1359352654,2,15.25514403,20.3491318,0.02,1.710452045
1353752654,1353802654,0,15.83333333,20.59752972,0,1.775280346
1353552654,1353602654,1,16.99388379,20.18825678,0.01,1.905404709
1353352654,1353402654,6,22.32701422,20.98526181,0.06,2.503371128
1354502654,1354552654,123,,,1.23,0
1355652654,1355702654,6,15.76954733,20.56917413,0.06,1.768128469
1356802654,1356852654,3,32.16158537,18.47760972,0.03,3.606052446
1355202654,1355252654,8,8.102094241,15.73762443,0.08,0.908430863
1359102654,1359152654,2,15.10752688,20.04124548,0.02,1.693900771
1360252654,1360302654,9,,,0.09,0
1352002654,1352052654,34,44.37769784,5.899439593,0.34,4.975759249
1351852654,1351902654,13,10.2617284,17.41797403,0.13,1.150575457
